error_scale,derivative_scale,output_scale,overshoot,settling_time,steady_state_error,recovery_time,maximum_voltage,meets_requirements,score
4.0,0.2,12.0,0.687651761994923,1.26,0.00023120055919358728,0.48,12.0,True,1.5306504083183434
3.5,0.15,12.0,0.6497088639059401,1.25,0.0003246826270888903,0.5299999999999998,12.0,True,1.5757433688234104
3.5,0.2,12.0,0.31843170730103676,1.32,0.0004523216083230097,0.54,12.0,True,1.5789185022925085
4.0,0.15,12.0,1.1123834136261612,1.2,0.0002828473975728496,0.48,12.0,True,1.580761422482517
3.5,0.1,12.0,1.167092496148081,1.17,0.0003183704226327499,0.5299999999999998,12.0,True,1.6252555414928909
3.0,0.1,12.0,0.5962045248263825,1.25,0.0005474902942420568,0.6000000000000001,12.0,True,1.6573232677228158
3.0,0.08,12.0,0.818091049612768,1.21,0.0004745488890094873,0.5899999999999999,12.0,True,1.6577397654901689
3.0,0.15,12.0,0.23361045964551685,1.34,0.0006617095548256646,0.6099999999999999,12.0,True,1.6662263807450033
3.5,0.08,12.0,1.4465424237339652,1.1500000000000001,0.00041521300737883403,0.52,12.0,True,1.6674964521513431
4.0,0.1,12.0,1.7043270362108176,1.1300000000000001,0.0005943674225250906,0.46999999999999975,12.0,True,1.6736354828280058
3.0,0.2,12.0,0.06459554251248001,1.44,0.0004477793423022858,0.6200000000000001,12.0,True,1.6876970427327247
3.0,0.05,12.0,1.269306483340582,1.16,0.0004243622606645792,0.5899999999999999,12.0,True,1.7096308560679077
3.0,0.03,12.0,1.675678789132995,1.12,0.0004922376891962176,0.5800000000000001,12.0,True,1.7610261934128875
4.0,0.15,10.0,0.5913590890248122,1.41,0.0010907583889280459,0.56,10.0,True,1.7690143233644338
3.5,0.05,12.0,1.9735535326853348,1.1,0.000737608150373692,0.52,12.0,True,1.7718048549077696
4.0,0.1,10.0,0.9964695707181281,1.34,0.0008866957508705298,0.5499999999999998,10.0,True,1.7729634892306787
4.0,0.2,10.0,0.32177112915459105,1.48,0.0011669690195291605,0.5699999999999998,10.0,True,1.7793844611171676
2.5,0.08,12.0,0.2488271432814937,1.34,0.0009719860588176221,0.69,12.0,True,1.7802973678713945
2.5,0.1,12.0,0.13771827950164184,1.3900000000000001,0.0008046938093160616,0.6999999999999997,12.0,True,1.784679703498601
4.0,0.08,10.0,1.209880711112099,1.31,0.000819122315507863,0.5499999999999998,10.0,True,1.7888883737732062
2.5,0.05,12.0,0.5305619477504742,1.26,0.0010381313710942175,0.69,12.0,True,1.7899255266595164
2.5,0.03,12.0,0.8269073219242307,1.21,0.0009451585866297952,0.6799999999999997,12.0,True,1.796563989714492
4.0,0.05,10.0,1.6064262524234652,1.27,0.0007890280196918265,0.54,10.0,True,1.8285213857872091
3.5,0.15,10.0,0.26133247916890756,1.48,0.0012907168023826587,0.6299999999999999,10.0,True,1.8396715094053808
3.5,0.08,10.0,0.7406046719661719,1.37,0.001347438689233491,0.6099999999999999,10.0,True,1.8478648033165836
3.5,0.1,10.0,0.5645878159838524,1.4000000000000001,0.0014148431050723166,0.6200000000000001,10.0,True,1.8494018737040026
3.5,0.05,10.0,1.0859859708820085,1.32,0.0011938580820920852,0.6000000000000001,10.0,True,1.858249669052277
3.5,0.03,10.0,1.3843275000329447,1.28,0.001092176489719352,0.6000000000000001,10.0,True,1.8810831489785245
4.0,0.03,10.0,1.939154035706836,1.24,0.0008572907371462768,0.54,10.0,True,1.8818932141893283
4.0,0.08,12.0,2.0092150906402706,1.3800000000000001,0.0007401366002799059,0.46999999999999975,12.0,True,1.9158566781560444
2.0,0.05,12.0,0.04337303629846634,1.49,0.0003321370661312706,0.8399999999999999,12.0,True,1.9252216472061534
3.0,0.08,10.0,0.2965403626897789,1.46,0.001610652113152069,0.6999999999999997,10.0,True,1.9353732838531623
2.0,0.03,12.0,0.12672234935728888,1.42,0.0009880681799037028,0.8300000000000001,12.0,True,1.950817954528495
3.0,0.05,10.0,0.538174651906731,1.4000000000000001,0.0018880418283142618,0.69,10.0,True,1.9614391132127726
3.0,0.03,10.0,0.7713342894596797,1.35,0.0019432605189066221,0.6799999999999997,10.0,True,1.9702595764492645
2.5,0.03,10.0,0.2151992362913413,1.49,0.0016347127042920162,0.7999999999999998,10.0,True,2.0415111176874694
4.0,0.05,12.0,2.5682173752816784,1.46,0.0009621452636818328,0.46999999999999975,12.0,True,2.1031913347578515
3.5,0.03,12.0,2.4228887971512236,1.47,0.0010126475374349787,0.52,12.0,True,2.1358425131737424
4.0,0.03,12.0,3.0338089252877953,1.47,0.0011089898866943337,0.45999999999999996,12.0,True,2.2076607737269924
2.5,0.15,12.0,0.019251089086091966,1.52,0.0002564104783353649,0.71,12.0,False,1.8028245989840883
3.5,0.2,10.0,0.0977846726215148,1.57,0.0007628724671289167,0.6399999999999997,10.0,False,1.8241775145705277
3.0,0.15,10.0,0.04782450863511922,1.61,0.00042868869523007727,0.7199999999999998,10.0,False,1.8874337712500315
3.0,0.1,10.0,0.18993986393267548,1.5,0.0013132318359813943,0.6999999999999997,10.0,False,1.910977823051341
2.5,0.05,10.0,0.1078896462240353,1.55,0.0008960623215766273,0.81,10.0,False,1.99618416140247
2.5,0.08,10.0,0.030588860636893145,1.6400000000000001,0.0006745146443128358,0.8199999999999998,10.0,False,2.028569236558662
4.0,0.15,8.0,0.1757379040671303,1.74,0.001321916867280466,0.6799999999999997,8.0,False,2.0406726008748057
2.5,0.2,12.0,0.0,1.6400000000000001,0.0017602103534361201,0.73,12.0,False,2.0493543686769455
3.5,0.1,8.0,0.12666834505512536,1.75,0.0010924317458290568,0.75,8.0,False,2.084576843593931
3.0,0.2,10.0,0.0,1.72,0.0017792381952572334,0.73,10.0,False,2.0962571528590566
2.0,0.08,12.0,0.0,1.61,0.0012336905234512296,0.8500000000000001,12.0,False,2.0967023856784563
3.5,0.08,8.0,0.19316526300627856,1.71,0.001476499018722739,0.7399999999999998,8.0,False,2.0996162878068625
4.0,0.2,8.0,0.06996456106358462,1.82,0.0015328594769135461,0.69,8.0,False,2.103945526570738
3.0,0.03,8.0,0.13654496048338682,1.73,0.0011046272669628832,0.8300000000000001,8.0,False,2.154438385459632
4.0,0.1,8.0,0.37131025231684767,1.6600000000000001,0.0028162227954769527,0.6699999999999999,8.0,False,2.165884330011065
2.5,0.1,10.0,0.0,1.7,0.001618087767873806,0.8300000000000001,10.0,False,2.1668087767873803
4.0,0.08,8.0,0.48426420866425346,1.6300000000000001,0.003309069971014189,0.6599999999999997,8.0,False,2.207759838834269
3.5,0.05,8.0,0.3410387011313132,1.6500000000000001,0.0027694006930515116,0.73,8.0,False,2.208481142864747
3.0,0.05,8.0,0.07194890910755536,1.78,0.0014208835547061204,0.8399999999999999,8.0,False,2.216478137292123
4.0,0.05,8.0,0.7048880368998534,1.58,0.0039021926976833664,0.6499999999999999,8.0,False,2.2678635438149737
2.0,0.1,12.0,0.0,1.68,0.0024586875189866173,0.8599999999999999,12.0,False,2.2758687518986616
3.5,0.03,8.0,0.48233892181936966,1.61,0.003546053251069443,0.73,8.0,False,2.287739776137485
3.5,0.15,8.0,0.01907820108633107,1.85,0.0026432001440161268,0.7599999999999998,8.0,False,2.2948023212855455
4.0,0.03,8.0,0.8930153241915262,1.55,0.0041867440119849955,0.6499999999999999,8.0,False,2.3139441327034715
3.0,0.08,8.0,0.0,1.86,0.0035084318217360622,0.8500000000000001,8.0,False,2.4741765155069393
2.5,0.15,10.0,0.0,1.83,0.0049851777542816575,0.8399999999999999,10.0,False,2.600184442094832
2.0,0.03,10.0,0.0,1.78,0.00396158124233744,0.9899999999999998,10.0,False,2.6144914575670772
3.0,0.1,8.0,0.0,1.9100000000000001,0.005304254141910358,0.8599999999999999,8.0,False,2.6970920808577024
3.5,0.2,8.0,0.0,1.95,0.00629665720594589,0.7799999999999998,8.0,False,2.742999053927922
2.0,0.15,12.0,0.0,1.84,0.0061847287269286835,0.8700000000000001,12.0,False,2.7651395393595353
2.0,0.05,10.0,0.0,1.86,0.0062038325239103485,1.0,10.0,False,2.9020499190577014
2.5,0.03,8.0,0.0,1.95,0.007389741805292052,0.9899999999999998,8.0,False,3.0623075138625384
2.5,0.2,10.0,0.0,1.96,0.00902710443453686,0.8599999999999999,10.0,False,3.111043776787019
1.5,0.03,12.0,0.0,1.8900000000000001,0.007936986265358189,1.1,12.0,False,3.2036986265358185
4.0,0.03,6.0,0.0037179149303234738,2.08,0.009826819071161478,0.8300000000000001,6.0,False,3.2250921567688793
3.0,0.15,8.0,0.0,2.02,0.010175553400030107,0.8799999999999999,8.0,False,3.27755534000301
2.0,0.08,10.0,0.0,1.97,0.009797630205323406,1.0099999999999998,10.0,False,3.34476302053234
2.0,0.2,12.0,0.0,1.99,0.010718855146395838,0.8999999999999999,12.0,False,3.34855218130625
2.5,0.05,8.0,0.0,2.0100000000000002,0.010049383751466105,1.0,8.0,False,3.378271708479944
4.0,0.05,6.0,0.0,2.12,0.012911135392177682,0.8399999999999999,6.0,False,3.5694468725511013
1.5,0.05,12.0,0.0,1.99,0.01110758047781898,1.1099999999999999,12.0,False,3.597424714448564
2.0,0.1,10.0,0.0,2.04,0.012333560188880228,1.02,10.0,False,3.6550226855546892
2.5,0.08,8.0,0.0,2.1,0.014141294883161673,1.0099999999999998,8.0,False,3.8574628216495004
3.0,0.2,8.0,0.0,2.14,0.015477908075084191,0.8999999999999999,8.0,False,3.907790807508419
4.0,0.08,6.0,0.0,2.18,0.017527747839578257,0.8500000000000001,6.0,False,4.081108117291159
2.5,0.1,8.0,0.0,2.16,0.016928137847796256,1.02,8.0,False,4.1861471181129595
1.5,0.08,12.0,0.0,2.13,0.016147965989165312,1.13,12.0,False,4.214796598916531
3.5,0.03,6.0,0.0,2.21,0.019460420620280285,0.94,6.0,False,4.384375395361362
4.0,0.1,6.0,0.0,2.22,0.020613057147188103,0.8599999999999999,6.0,False,4.426305714718811
2.0,0.15,10.0,0.0,2.21,0.019038751113302478,1.0499999999999998,10.0,False,4.468875111330248
1.5,0.1,12.0,0.0,2.22,0.019652232016569474,1.1399999999999997,12.0,False,4.635223201656947
3.5,0.05,6.0,0.0,2.2600000000000002,0.023049114760696154,0.9499999999999997,6.0,False,4.786578142736282
2.5,0.15,8.0,0.0,2.3000000000000003,0.024056426562273404,1.06,8.0,False,5.032309322894006
4.0,0.15,6.0,0.0,2.32,0.028366417240113417,0.8799999999999999,6.0,False,5.288308390678009
2.0,0.2,10.0,0.0,2.36,0.026143637122063797,1.0899999999999999,10.0,False,5.319363712206379
2.0,0.03,8.0,0.0,2.33,0.025265474887979335,1.2399999999999998,8.0,False,5.353214155464601
3.5,0.08,6.0,0.0,2.32,0.028325672653681376,0.9699999999999998,6.0,False,5.374233932034804
