carga,inercia,sobresinal_percentual,tempo_assentamento,erro_regime_permanente,tempo_recuperacao,tensao_maxima,atende_requisitos
Carga leve,0.008,0.0,1.37,0.00019567392860772025,0.4299999999999997,12.0,True
Carga nominal,0.01,0.0021443137704357795,1.33,1.4605791597095407e-05,0.43999999999999995,12.0,True
Carga pesada,0.015,0.687651761994923,1.26,0.00023120055919358728,0.48,12.0,True
